gene,baseMean,log2FoldChange,log2FoldChange_unshrunk,lfcSE,stat,pvalue,padj,padj_calibrated
EMP2,1.3240201944832857,0.024062966020526065,-0.40184489963212766,0.3150151827351716,-1.5098528335095953,0.13108098022056344,0.22517749961114064,1.0
NUBP1,51.0589529686712,-0.12061984289657908,-0.12533740630983256,0.029159898666893738,-4.433754723241742,9.260597719837497e-06,5.038440704714018e-05,1.0
TVP23A,0.6730301749616732,-0.028368958044060016,-0.7674198176082065,0.4202866608067732,-2.510024915743116,0.012072264334626107,0.03113739648268117,0.39858944681937203
CIITA,16.693153366652016,-0.10706668073304372,-0.12513090162578336,0.06023479952533666,-2.212118037974428,0.026958510086989986,0.06155552810000094,1.0
DEXI,30.204149750902282,0.01868895575105144,0.020605796137853117,0.04606106129559888,0.5445635744179181,0.5860537128077574,0.7216069791407641,1.0
CLEC16A,31.868255819047352,0.033326999814169374,0.03756245143424647,0.04250547845036209,1.0642702846273484,0.28720627529920817,0.42053106976325777,1.0
RMI2,14.746465634307604,-0.886850515806668,-0.9169841385891547,0.09917103945475798,-9.31360528846592,1.2356522889081086e-20,4.984377683708201e-19,2.70065802028153e-13
SOCS1,399.7552211253905,0.14262111692967533,0.1493502068804667,0.032677855846393315,4.710091553291135,2.4760554037922066e-06,1.4941893545008175e-05,1.0
AC099489.1,0.9177168650026667,0.32183294213864805,0.17769220165276797,0.21909954147975808,0.8427686806958951,0.3993578272688242,0.5442138876775494,1.0
LITAF,836.3172391738888,0.12859163895865428,0.13184719278866452,0.023283765926610734,5.735551137842325,9.719575954605207e-09,8.523228883646452e-08,1.0
SNN,10.592278144720014,0.12794626005701848,0.14575747554655252,0.06516261985032801,2.2747915912773276,0.022918434904941134,0.053678768046901706,1.0
TXNDC11,78.18785735270181,0.0696903260084904,0.07272494583152003,0.0231672797140783,3.304856082890599,0.0009502518101811431,0.0033475045318066346,1.0
ZC3H7A,89.12097823239544,0.023267149459723538,0.024332154001935672,0.025486940449984518,1.0609682384607055,0.2887043356702069,0.42229275656765713,1.0
RSL1D1,309.2642606621692,-0.03706253182448607,-0.037221900390575505,0.017725915038610252,-2.2994428704223404,0.02147980393431099,0.050833051122018406,1.0
GSPT1,249.1564782665012,-0.01855793530894723,-0.019210243995853166,0.023625285286196833,-0.9603276581271503,0.3368903342427205,0.4769892808340674,1.0
NPIPB2,1.5397693858593908,0.09150527403601412,0.0881551383169104,0.18767940293246008,0.5375786605406111,0.5908679658196878,0.7241906965332819,1.0
TNFRSF17,1.211493598407603,-0.0013542894207457848,-1.312491361387891,48.20573282853249,-1.3446625948344222,0.17873421927046995,0.28897950405396133,1.0
SNX29,32.37398854787126,0.06690137614105486,0.0729295302020431,0.04352973240383828,1.89524366539892,0.05806012769355596,0.11579680063673,1.0
CPPED1,27.39648954413862,-0.1981360560541399,-0.21177460817824634,0.045259352465885506,-4.58186451082658,4.608484561002518e-06,2.65034132182956e-05,0.7878873780124772
ERCC4,25.60720692427635,0.004598378451467363,0.0050729100977073395,0.04949915154355232,0.1292207149681597,0.8971830054543807,0.9257573597137002,1.0
MRTFB,14.856110557923527,-0.0007269392795559538,-0.0014948458934258588,0.052230234305682945,-0.029960220905138082,0.9760987780369358,0.9830321753631704,1.0
PARN,55.78996102669859,0.004185759614105954,0.0030755385847825068,0.032567637652018824,0.11225508561018208,0.9106211531309989,0.9347738288771258,1.0
BFAR,120.07334626710707,0.008910523541188051,0.008636669199663884,0.019372749586843766,0.4882072546556674,0.6254030464717818,0.74442616675823,1.0
PLA2G10,0.20400668092006458,0.0008252391097651053,-1.109900322549406,3.305569642157698,-0.3806237494162825,0.7034824560190536,0.7827403861843704,1.0
NPIPA3,0.019896352281075814,0.00029413167419287714,-1.592657102738803,16.267490576016876,-0.5447901797549655,0.585897833491102,,
NPIPA2,0.07305255371483631,0.000279565738927274,-1.4352998771164165,9.749174224248637,-0.4915399241050429,0.6230446218850128,,
NOMO1,8.618216288073983,0.0023480217676912106,-4.292505626137847e-05,0.08674084093081384,-0.0006450675958882989,0.9994853105602612,0.9995551118948909,1.0
NPIPA1,9.79108002609444,0.08649474005115933,0.10705022974526199,0.07958279791014444,1.5891246141213262,0.11203226174005097,0.19850309182350034,1.0
PDXDC1,87.23142058751577,0.07812027376175504,0.08138108822673665,0.024041383292828473,3.6053254706698707,0.00031176195592371884,0.001246699583587728,1.0
NTAN1,63.98077936658764,-0.0671385987295665,-0.07054553736367433,0.03209001827036178,-2.5090273462852872,0.01210641117105286,0.031208606295135367,1.0
RRN3,79.50505414090713,0.07758386836764558,0.0795478868518473,0.02434508073530168,3.486777468567867,0.0004888779598399784,0.0018604125391731307,1.0
NPIPA5,1.6773479192915937,0.2372163762613686,0.21232427256552527,0.14929706463967424,1.4398238214119856,0.14991724982549454,0.2508547578290584,1.0
AC140504.1,0.10582263067180005,0.0006446920852142523,-1.379608547772443,5.250617337299815,-0.472666026551912,0.6364514682702671,,
MPV17L,0.24072294297221045,0.004998530014628126,-1.0558268126920853,2.5429556066395036,-1.070600905204869,0.28434891629134185,0.4169014519598664,1.0
BMERB1,18.384166157399054,-0.05127403437524407,-0.06131496227264465,0.05279026050383966,-1.3017660602763512,0.19299636926911823,0.3070636767461503,1.0
MARF1,54.720282630569955,0.09224470613675144,0.09814052457542324,0.03524361218230764,3.056491886133184,0.0022394354152809257,0.0071374838964662485,1.0
NDE1,91.16285931763868,0.023569015814010892,0.02506897513943431,0.028715076038525498,1.0384071682935807,0.29908053369443444,0.43456083753843283,1.0
MYH11,1.7524299761934747,-0.012158789010987242,-0.13603046719751338,0.2127490005300991,-0.9211842811555635,0.35695422350829364,0.4982536778086329,1.0
FOPNL,74.25896187659303,-0.07296407117306868,-0.0759208983229603,0.022809590766195372,-3.5390063279854664,0.0004016362248844643,0.0015631383400886239,1.0
ABCC1,55.49925029626377,0.13151310002556735,0.13667400882364186,0.032038913575713104,4.348512921635575,1.3706374424952783e-05,7.21070102003394e-05,1.0
ABCC6,0.12168461147818535,0.00174496963942701,-1.050069795447295,0.3919008589076595,-0.3599635932739971,0.718874359464347,,
NOMO3,3.649006213573296,-0.10124755259224086,-0.15834874514055172,0.0924300201156431,-1.7830233591420406,0.07458250092794069,0.14211861786934274,1.0
AC138969.1,6.058887923158876,0.04609423300068093,0.0591352539515363,0.091273249570077,0.726615895646994,0.4674612879180511,0.614395909756623,1.0
NPIPA7,0.02984344893402538,-0.0002490933332351216,-1.679808887996786,11.685194040160518,-0.5746633031643569,0.5655190304426329,,
XYLT1,10.692919694329143,0.203297726712161,0.21985038987061814,0.055966098748546474,3.890953531500922,9.98510558836505e-05,0.0004415895985960083,0.9658251763630721
NPIPA8,0.09588076004313738,-9.170957662261299e-05,-1.5296147591104738,11.255689303235112,-0.5238032113288664,0.6004154195878162,,
NPIPA9,0.8169550639173462,0.048946089746779366,-0.14903633187873067,0.25187851558150404,-0.6658843219132005,0.5054850423560229,0.6517689362991399,1.0
NOMO2,17.964099721201556,0.029272212259137724,0.03443172933374437,0.06059145596680119,0.7082905271404567,0.478764858529785,0.6254513282847731,1.0
AC138811.2,0.04107672511052605,-8.380011462758374e-05,-1.5933690365869544,13.331786617773199,-0.5453401144555677,0.5855196194898868,,
ARL6IP1,349.22415996860417,-0.09310098823673477,-0.09554373016845967,0.02926961384686165,-3.476862575769711,0.0005073177733130413,0.001919870643193116,1.0
SMG1,194.9547507506503,0.12348678229466141,0.1265829062851012,0.020358090427640134,6.3865696012224635,1.696482380487168e-10,1.9295971158519655e-09,1.0
TMC7,0.03415135650421178,0.0010070266378951831,-1.4492355026013937,16.683728235378844,-0.49573254466546524,0.6200831224736398,,
COQ7,37.030873756741,0.11726652581382707,0.12649685015321283,0.042904617401448755,3.1247744158894197,0.0017794146257162637,0.005834947891059514,1.0
ITPRIPL2,5.84764877296205,0.05744876551053144,0.06442781050252275,0.07274821588357976,0.94830901067905,0.3429721650239297,0.48301193738478476,1.0
SYT17,0.21991251195694334,0.0005123883743573815,-1.4567416120110075,0.3598030636489985,-0.49935101043361896,0.6175321250181667,0.7398098265363152,1.0
TMC5,1.0011813854736902,0.002321454224727906,-0.9111329132707723,2.6056625768832937,-0.5847853700530351,0.5586920427146294,0.7015932608569381,1.0
GDE1,87.5759051179618,-0.040922062829608016,-0.043141091111683884,0.035892813914455146,-1.4677513800840398,0.14217176860768382,0.2406216435955599,1.0
CCP110,34.89736158725484,-0.17818088988191028,-0.18826983138687284,0.03722184593813941,-5.0300871534369005,4.902569368019855e-07,3.3319788016157723e-06,1.0
VPS35L,32.43029220597808,0.027896180181600345,0.030931679010093922,0.0429445205869703,0.82915597621576,0.4070161525209318,0.5524617349857577,1.0
KNOP1,27.50294849061878,-0.18013811270937707,-0.19210072018212976,0.04398113598692695,-4.339140450396714,1.430410868163348e-05,7.492130077578326e-05,1.0
IQCK,2.774496385703856,0.029898796602554636,0.035572209425690185,0.13315963275109347,0.3110938641617936,0.7557292655764339,0.8164444576723915,1.0
GPRC5B,0.23168420865182082,0.001845348028017737,-1.005406271720633,0.4046029828718578,-0.3446991888956246,0.7303205279762649,0.7985789523992145,1.0
GP2,0.9824549147245806,0.00011102625895497242,-1.4679033319055834,10.902847999069676,-0.502206994277134,0.6155219234985647,0.7387088454994508,1.0
ACSM5,0.03496635197540616,0.00042716014926013924,-1.5088274030471653,13.036938770174267,-0.5161224058733521,0.605768919902175,,
ACSM2A,0.0468066415094893,3.624695255408977e-05,-1.5764537990812404,8.871584342195142,-0.5392681624587847,0.5897018336432192,,
ACSM2B,0.0190021007735794,0.00028793716889277866,-1.5588582203822805,10.607587265453905,-0.5331195288110901,0.5939508414182684,,
ACSM3,2.6029078875074187,0.007886739323984607,-0.007165577587355263,0.13546304674730253,-0.06368552223236236,0.9492206329286044,0.9630066924220768,1.0
ACSM1,0.25825605300043447,0.002166514462655855,-0.9118987555408212,2.726722476037384,-0.38822262192300355,0.6978512936200574,0.7793207926880777,1.0
THUMPD1,126.2734292210855,0.058194840502522854,0.05956210719052106,0.02324589890015667,2.8373873497029503,0.004548439407178111,0.01339096470205398,1.0
ERI2,6.147564800720876,-0.3673130704379432,-0.39483499398440663,0.07232194195211443,-5.431015683504635,5.6034209099749427e-08,4.3680450425063247e-07,0.009269429740117432
REXO5,5.303219006743116,-0.37348874284422084,-0.41635964978920964,0.07716550879474852,-5.291698413873412,1.211856173454403e-07,9.024326783082191e-07,0.00917289349401756
DCUN1D3,8.95348596526737,0.07416610181189812,0.08939909855650402,0.06879990877314564,1.4211530940443244,0.15527225754970791,0.2583060790092725,1.0
LYRM1,61.73159944371216,-0.06897547613068322,-0.07108056051559886,0.028292087407121892,-2.721680512204246,0.006495090169451332,0.018276614507082543,1.0
DNAH3,0.04411505204020511,0.00030559481488502997,-1.5128964903100102,12.073140675881804,-0.5175983886139267,0.6047385062986645,,
TMEM159,41.58374536832304,0.014113882818993796,0.016136255529353334,0.043116863562160594,0.4907106105408336,0.6236311408122328,0.7430852002355778,1.0
CRYM,0.31168107684927393,0.0002002066584112018,-1.3986877694357382,7.955537099278938,-0.4790176942129186,0.631926040936263,0.7477725684914475,1.0
NPIPB3,2.5011013634362254,0.07071019806397506,0.09759690459464529,0.16481566664924358,0.6925570569962435,0.48858756751549137,0.6351860160528222,1.0
METTL9,240.07020629927013,-0.0056271224284976905,-0.005130015143310599,0.015718176673002945,-0.3547083755120357,0.7228080756884281,0.7938803224312234,1.0
IGSF6,1.6681527026614111,-0.013592612382002198,-0.24807596514348404,0.30561841516252014,-1.2998829945713706,0.19364107433232314,0.30786501437091895,1.0
OTOA,0.41073873961826274,-0.012145695964348495,-0.8679227126669418,0.41877851087127865,-2.6525530338823113,0.007988557720977747,0.02182716019164307,0.2923678744648278
NPIPB4,20.129484322282668,0.2112088147098261,0.22938168559705385,0.05529300877063028,4.013371547181315,5.985758233587179e-05,0.0002772188159927827,0.7878873780124772
UQCRC2,209.92118545851872,-0.07061668381167384,-0.07310490070099634,0.021245706204863823,-3.7572996600342927,0.00017175677474468037,0.0007251052518702308,1.0
PDZD9,0.1325387760939117,0.00046031749816153255,-1.5570512456409555,41.276749027667286,-0.532632271768036,0.5942881580572277,,
MOSMO,11.570196350691937,-0.021971762492438755,-0.027449379950227438,0.053962118801679726,-0.5177020929238029,0.6046661377758917,0.7321805168890061,1.0
VWA3A,0.05124556253817617,0.00043623053463691716,-1.521432502711928,24.74663356132982,-0.5205056237077367,0.6027112092809103,,
SDR42E2,5.896322440390189,0.3395886285962532,0.37292455374758465,0.09363472665043364,3.887543628372543,0.00010126379067570249,0.0004468713351235931,0.18829533750445887
EEF2K,21.638844669595116,0.05860541854889677,0.06634972879987994,0.052312555090589914,1.4862686212714538,0.13720808309894014,0.23379824424622983,1.0
POLR3E,53.49030138622775,0.015320990268098014,0.017411374701013328,0.035954742624169034,0.5512809718135864,0.5814410804233294,0.7186463207027514,1.0
AC092338.1,50.0025989195179,0.07802983487125668,0.0834444029740828,0.036752174391142936,2.534401943841899,0.011263944677620662,0.02935390132548278,1.0
NPIPB5,49.11595496866348,0.15327170436122123,0.15945145392382445,0.030777824153022888,5.212214561487169,1.8659954803892528e-07,1.350912804811633e-06,1.0
USP31,4.677008353307045,-0.03578780747764748,-0.06274415802993043,0.09700659360133682,-0.7570595090882422,0.4490142109769748,0.5953595834435443,1.0
SCNN1G,0.07667196509737574,0.0005446789012871754,-1.5249002410699348,36.24038515983984,-0.5215878945633672,0.6019572936201801,,
SCNN1B,1.053501024021541,-0.00035016883734040934,-1.265779942584197,3.1461089931897446,-0.6131728110071879,0.5397620805012718,0.6848344074335189,1.0
COG7,30.363410170278833,0.07202303163313505,0.07833176027586965,0.044781526345501185,2.02668501343481,0.04269463609070691,0.09009537117873902,1.0
GGA2,161.44490776614498,0.09320729164260495,0.09528262538182354,0.02199034900815858,4.560939682286356,5.092520925251697e-06,2.9065324690954286e-05,1.0
EARS2,11.944603278706202,0.004774148409453032,0.0065637937593095936,0.07836300218109697,0.11598300436678205,0.9076660114335937,0.9327486672504969,1.0
UBFD1,23.17565974884435,-0.059672640421280766,-0.06541165886609038,0.040664847937337135,-1.6973156406680954,0.08963700178575798,0.16556195867045714,1.0
NDUFAB1,290.0356899875615,-0.2567581943114538,-0.25934783556675944,0.02454355264326183,-10.40404056722421,2.3763780926621636e-25,1.77238199411053e-23,3.943942763417572e-05
PALB2,8.913433535270615,-0.05532679729187425,-0.06847749074561996,0.06645036505401625,-1.1874522008935182,0.23504930004539593,0.35834195429043647,1.0
DCTN5,52.533323980838155,-0.017335512376819306,-0.01959730859900552,0.03536477933043437,-0.6506045098861801,0.5153018183726188,0.6612116522487366,1.0
PLK1,47.71254947164095,-1.1813637022602168,-1.2093738223530428,0.10661082727458328,-11.657549067558769,2.100004944702441e-31,4.0096094410851936e-29,1.7197599120262268e-22
ERN2,0.2578800032792609,-0.0006896936108259933,-1.6133945524118574,62.740235114604914,-0.5521532694793736,0.5808433478451792,0.7184656423203737,1.0
