gene,scores,logfoldchanges,pvals,pvals_adj,pct_neg,pct_pos
ZFR2,-0.15046015,-0.40921682,0.8804015894052055,1.0,0.0038056494209507564,0.00520479746548993
LDLRAD3,-0.15068223,-1.0576818,0.8802263923311205,1.0,0.0015419441619369443,0.0029418420457116997
SYNPO,-0.15072057,-0.2344162,0.8801961430698801,1.0,0.0015419441619369443,0.0029418420457116997
FRK,-0.15072617,-1.8728167,0.880191731733888,1.0,0.0015419441619369443,0.0029418420457116997
SIX5,-0.15086757,-0.7179499,0.880080189188357,1.0,0.0013122929037761228,0.0027155465037338763
TMEM255A,-0.15094346,-0.49012637,0.8800203227015425,1.0,0.0013122929037761228,0.0027155465037338763
TMEM51,-0.15101135,-1.0146667,0.8799667585314697,1.0,0.0013122929037761228,0.0027155465037338763
MOXD1,-0.15103212,-1.1910189,0.8799503743067801,1.0,0.0013122929037761228,0.0027155465037338763
ARHGEF37,-0.151116,-0.8412715,0.8798842077685031,1.0,0.005380400905482104,0.006788866259334691
SLC26A4,-0.15134688,-4.182409,0.8797020965812146,1.0,0.0010826416456153013,0.0024892509617560534
EYA1,-0.15141477,-1.5176471,0.8796485356778428,1.0,0.0010826416456153013,0.0024892509617560534
LZTS1,-0.15144274,-2.2950804,0.8796264813482642,1.0,0.0010826416456153013,0.0024892509617560534
NEK2,-0.15169677,-0.79665256,0.8794261062917137,1.0,0.0056100521636429255,0.007015161801312514
KCTD3,-0.15177266,-0.74529344,0.8793662473162079,1.0,0.0031166956464682917,0.004525910839556461
KIF20A,-0.15193483,1.523284,0.8792383404481,1.0,0.00288704438830747,0.004299615297578638
SENP3,-0.1519508,0.27330756,0.8792257389567014,1.0,0.011679406843607493,0.013125141434713735
CAMSAP3,-0.15205385,-1.5746642,0.8791444600723487,1.0,0.0006233391292936583,0.002036659877800407
CACNA2D1,-0.152085,-1.7736435,0.8791198876370642,1.0,0.0006233391292936583,0.002036659877800407
EFNB2,-0.15228392,0.38372672,0.8789630048344014,1.0,0.007414454906335094,0.008825526137135099
ARHGAP32,-0.15232866,-1.6498004,0.8789277226094273,1.0,0.0026573931301466487,0.004073319755600814
HPD,-0.152371,-2.2565231,0.8788943307251021,1.0,0.00288704438830747,0.004299615297578638
FAM155A,-0.15243012,-2.0713603,0.8788477084545304,1.0,0.00039368787113283686,0.0018103643358225842
FGF11,-0.15243171,0.26602733,0.8788464483989935,1.0,0.00039368787113283686,0.0018103643358225842
FAM110C,-0.1524389,0.37656087,0.8788407781528748,1.0,0.0026573931301466487,0.004073319755600814
ATOH8,-0.15244609,-2.3722634,0.8788351079129705,1.0,0.00039368787113283686,0.0018103643358225842
FBXO48,-0.15256032,0.28728133,0.878745014935202,1.0,0.013746268167054886,0.015161801312514144
CXCL9,-0.15275924,-0.5885677,0.8785881434980685,1.0,0.002427741871985827,0.003847024213622992
PPIL6,-0.15276882,-1.3572198,0.8785805835491537,1.0,0.002427741871985827,0.003847024213622992
TRAT1,-0.1529158,-1.4409001,0.8784646657192429,1.0,0.036678586660542634,0.03801765105227427
TFEC,-0.15293498,-0.4838619,0.878449546194329,1.0,0.0021980906138250058,0.0036207286716451684
TMEM54,-0.15318982,-0.8181447,0.8782485867218153,1.0,0.0021980906138250058,0.0036207286716451684
SCARF1,-0.15350457,-2.9640777,0.878000390554089,1.0,0.001968439355664184,0.0033944331296673455
ANKDD1A,-0.1535509,-1.1535888,0.8779638550743546,1.0,0.008300252616383976,0.00973070830504639
AMY2B,-0.15360442,1.923592,0.8779216506196077,1.0,0.0040024933565171745,0.005431093007467753
MAMSTR,-0.15360601,-0.6888968,0.8779203907904704,1.0,0.006266198615530986,0.007694048427245984
GNA11,-0.15365554,-0.40490937,0.8778813362405842,1.0,0.0017387880975033628,0.0031681375876895226
